Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
167	XLOC_003626	Bra040018	EUCA	pk	OK	22.9224	12.9102	-0.828249	-0.62156	0.0018	0.0169595	yes
168	XLOC_003652	Bra040221	EUCA	pk	OK	1.73091	5.48741	1.6646	1.09525	5e-05	0.00105935	yes
169	XLOC_003667	Bra040119	EUCA	pk	OK	4.38895	18.6443	2.08678	1.07466	5e-05	0.00105935	yes
170	XLOC_003674	Bra040132	EUCA	pk	OK	4.81269	2.54141	-0.921217	-0.594467	0.00405	0.0305224	yes
171	XLOC_003679	Bra040146,Bra040147	EUCA	pk	OK	2.96142	30.1112	3.34594	1.09035	5e-05	0.00105935	yes
172	XLOC_003746	Bra040509	EUCA	pk	OK	12.1527	23.2614	0.936666	0.910868	0.00015	0.00261531	yes
173	XLOC_003749	Bra040520	EUCA	pk	OK	749.372	342.722	-1.12864	-0.900337	6e-04	0.00767604	yes
174	XLOC_004490	Bra028837	EUCA	pk	OK	17.1086	8.88956	-0.944537	-0.573248	0.0057	0.0392177	yes
175	XLOC_004508	Bra028798,Bra028799,Bra028800,Bra028801	EUCA	pk	OK	13.8133	1.2087	-3.51453	-1.65132	5e-05	0.00105935	yes
176	XLOC_004531	Bra028754	EUCA	pk	OK	10.4599	5.27927	-0.986453	-0.735469	0.00075	0.00904593	yes
177	XLOC_004541	Bra028733,Bra028734	EUCA	pk	OK	4.04247	11.8652	1.55342	0.998637	1e-04	0.00189479	yes
178	XLOC_004559	Bra028697	EUCA	pk	OK	2.2576	4.98468	1.14271	0.770668	0.00675	0.0439738	yes
179	XLOC_004573	Bra028665	EUCA	pk	OK	22.7117	13.0832	-0.795725	-0.604121	0.00775	0.0483892	yes
180	XLOC_004578	Bra028655,Bra028656	EUCA	pk	OK	5.67398	3.33461	-0.766844	-0.427776	0.0074	0.0467629	yes
181	XLOC_004581	Bra028648	EUCA	pk	OK	18.52	5.06177	-1.87137	-1.12614	0.00075	0.00904593	yes
182	XLOC_004584	Bra028641	EUCA	pk	OK	8.83074	0.993044	-3.15261	-0.877633	5e-05	0.00105935	yes
183	XLOC_004609	Bra028595	EUCA	pk	OK	29.9727	5.35507	-2.48467	-2.13012	5e-05	0.00105935	yes
184	XLOC_004656	Bra023366,Bra023367	EUCA	pk	OK	3.23794	5.59017	0.787815	0.637607	0.0022	0.0195913	yes
185	XLOC_004661	Bra023379	EUCA	pk	OK	3.42993	5.34805	0.640834	0.56202	0.00715	0.0456392	yes
186	XLOC_004680	Bra023417,Bra023418	EUCA	pk	OK	48.8209	106.79	1.1292	0.173661	0.00755	0.0475357	yes
187	XLOC_004683	Bra023426,Bra023427	EUCA	pk	OK	17.3782	34.5915	0.993136	0.691636	0.00715	0.0456392	yes
188	XLOC_004695	Bra023450	EUCA	pk	OK	32.5385	6.72837	-2.27382	-1.58228	5e-05	0.00105935	yes
189	XLOC_004711	Bra023485	EUCA	pk	OK	2047.87	969.065	-1.07946	-0.796459	0.00375	0.0291201	yes
190	XLOC_004716	Bra023492	EUCA	pk	OK	53.602	26.5441	-1.0139	-0.707128	0.00595	0.040566	yes
191	XLOC_004719	Bra023498,Bra023499	EUCA	pk	OK	8.56194	4.09225	-1.06504	-0.774435	5e-05	0.00105935	yes
192	XLOC_004730	Bra023513	EUCA	pk	OK	88.3093	55.6313	-0.666669	-0.57248	0.00685	0.0443846	yes
193	XLOC_004773	Bra023605,Bra023606,Bra023607	EUCA	pk	OK	3.17593	6.06012	0.932167	0.420309	0.008	0.0494871	yes
194	XLOC_004774	Bra023608	EUCA	pk	OK	2.25423	24.1255	3.41986	1.27735	0.00015	0.00261531	yes
195	XLOC_004838	Bra020062	EUCA	pk	OK	6.4007	15.47	1.27317	0.888415	1e-04	0.00189479	yes
196	XLOC_004864	Bra020124	EUCA	pk	OK	49.4758	23.6787	-1.06313	-0.945064	5e-05	0.00105935	yes
197	XLOC_004879	Bra020157	EUCA	pk	OK	2.54039	5.25016	1.04731	0.673148	0.0042	0.0313968	yes
198	XLOC_004904	Bra020234	EUCA	pk	OK	2.70311	6.25773	1.21102	0.96776	5e-05	0.00105935	yes
199	XLOC_004945	Bra020323,Bra020324	EUCA	pk	OK	7.71653	25.3687	1.71703	1.04561	1e-04	0.00189479	yes
200	XLOC_004956	Bra020340	EUCA	pk	OK	5.88156	10.6833	0.861082	0.658029	0.00245	0.0210679	yes
201	XLOC_005010	Bra020445	EUCA	pk	OK	172.863	468.24	1.43762	24.0257	0.00635	0.0424736	yes
202	XLOC_005011	Bra020447,Bra020448	EUCA	pk	OK	76.5769	42.5626	-0.847323	-0.753403	5e-05	0.00105935	yes
203	XLOC_005019	Bra035641	EUCA	pk	OK	4.81517	1.73461	-1.47298	-0.660858	0.0022	0.0195913	yes
204	XLOC_005025	Bra035629	EUCA	pk	OK	83.5987	34.2169	-1.28877	-0.904807	5e-05	0.00105935	yes
205	XLOC_005075	Bra022735	EUCA	pk	OK	4.46121	9.14279	1.0352	0.81981	2e-04	0.00326884	yes
206	XLOC_005103	Bra022678	EUCA	pk	OK	27.6208	12.3701	-1.1589	-0.607062	0.00115	0.0123018	yes
207	XLOC_005120	Bra022645	EUCA	pk	OK	231.514	147.815	-0.64731	-0.62953	0.00305	0.0249419	yes
208	XLOC_005128	Bra022633,Bra022635	EUCA	pk	OK	8.19455	15.3099	0.901733	0.811057	0.00015	0.00261531	yes
209	XLOC_005129	Bra022632	EUCA	pk	OK	2.6994	6.66866	1.30476	0.746301	0.00425	0.0315936	yes
210	XLOC_005133	Bra022618	EUCA	pk	OK	5.59922	16.2835	1.54012	1.15802	5e-05	0.00105935	yes
211	XLOC_005216	Bra022469	EUCA	pk	OK	0.322929	6.37976	4.30422	1.54931	5e-05	0.00105935	yes
212	XLOC_005231	Bra040632	EUCA	pk	OK	7.85595	3.83071	-1.03617	-0.639304	0.00455	0.0330867	yes
213	XLOC_005332	Bra038311	EUCA	pk	OK	5.15109	11.5845	1.16924	0.678443	0.0016	0.0156267	yes
214	XLOC_005334	Bra038305	EUCA	pk	OK	25.1941	42.558	0.756342	0.664036	0.00095	0.0107259	yes
215	XLOC_005343	Bra007870,Bra007871	EUCA	pk	OK	25.024	12.5599	-0.99449	-0.735043	0.00095	0.0107259	yes
216	XLOC_005347	Bra007877	EUCA	pk	OK	55.9815	34.8323	-0.684527	-0.556701	0.0071	0.045465	yes
